dates,values
01-06-2019,654321
02-06-2019,123456
03-06-2019,789012
04-06-2019,345678
05-06-2019,901234
06-06-2019,567890
07-06-2019,234567
08-06-2019,890123
09-06-2019,456789
10-06-2019,901345
11-06-2019,123987
12-06-2019,789654
13-06-2019,321987
14-06-2019,654321
15-06-2019,987654
16-06-2019,123890
17-06-2019,890567
18-06-2019,567123
19-06-2019,345901
20-06-2019,789456
21-06-2019,234678
22-06-2019,654789
23-06-2019,987321
24-06-2019,567231
25-06-2019,890231
26-06-2019,123098
27-06-2019,765432
28-06-2019,987654
29-06-2019,123465
30-06-2019,876543
01-07-2019,234567
02-07-2019,678901
03-07-2019,321678
04-07-2019,123890
05-07-2019,987321
06-07-2019,654987
07-07-2019,321654
08-07-2019,789012
09-07-2019,890123
10-07-2019,321098
11-07-2019,123567
12-07-2019,789432
13-07-2019,543218
14-07-2019,876543
15-07-2019,321678
16-07-2019,654321
17-07-2019,987654
18-07-2019,345678
19-07-2019,901234
20-07-2019,678123
21-07-2019,789234
22-07-2019,890123
23-07-2019,678901
24-07-2019,543678
25-07-2019,123654
26-07-2019,678345
27-07-2019,987654
28-07-2019,345678
29-07-2019,567890
30-07-2019,901234
31-07-2019,234567
01-08-2019,789012
02-08-2019,654321
03-08-2019,123456
04-08-2019,789654
05-08-2019,345987
06-08-2019,987654
07-08-2019,456789
08-08-2019,123987
09-08-2019,567890
10-08-2019,345678
11-08-2019,234567
12-08-2019,901234
13-08-2019,789012
