date,open,high,low,close,volume,dividend_amount
2005-01-03,61.8006,62.5035,61.376,61.8761,12567247.0,0.0
2005-01-04,62.178,62.2629,60.9514,61.3147,12408522.0,0.0
2005-01-05,60.876,61.8855,55.2479,58.2624,31988895.0,0.0
2005-01-06,56.7056,59.2531,56.4225,57.0453,30105747.0,0.0
2005-01-07,57.5548,58.4747,57.1349,58.0454,13980867.0,0.0
2005-01-10,58.3002,58.8332,56.3423,56.5829,14892781.0,0.0
2005-01-11,57.083,57.2717,55.2243,55.479,19195643.0,0.0
2005-01-12,55.6677,56.1206,52.941,54.0826,17808276.0,0.0
2005-01-13,54.361,56.2621,54.361,55.9413,12649089.0,0.0
2005-01-14,55.8564,56.7528,54.0637,54.578,19033951.0,0.0
2005-01-17,54.2524,56.1395,54.092,55.5592,17344513.0,0.0
2005-01-18,55.9083,56.5169,54.8516,55.1252,15369506.0,0.0
2005-01-19,55.3139,55.6583,54.6487,54.8516,11460626.0,0.0
2005-01-20,54.9129,54.9129,53.592,54.3704,12024991.0,0.0
2005-01-24,54.3468,54.7242,53.3231,53.8656,8355925.0,0.0
2005-01-25,53.3184,55.3658,52.1295,54.9271,9941380.0,0.0
2005-01-27,55.2809,55.479,54.6865,54.8705,7284332.0,0.0
2005-01-28,54.8657,59.4229,54.8091,58.7578,34897883.0,0.0
2005-01-31,59.4418,60.9656,59.1682,60.6495,17268850.0,0.0
2005-02-01,60.8571,60.9514,59.5362,59.8334,13021535.0,0.0
2005-02-02,60.1966,61.8148,60.0079,61.192,22698226.0,0.0
2005-02-03,60.8571,62.4045,60.8571,61.8997,21717909.0,0.0
2005-02-04,62.4139,63.0413,60.876,61.1496,23020466.0,0.0
2005-02-07,61.5176,61.895,60.3853,60.6354,11693392.0,0.0
2005-02-08,60.8571,60.9703,59.6305,59.9277,13603207.0,0.0
2005-02-09,60.3853,61.7063,60.258,61.5506,12293793.0,0.0
2005-02-10,61.7063,62.2252,60.7203,61.1496,14291014.0,0.0
2005-02-11,61.2439,61.9893,61.2345,61.7204,8417047.0,0.0
2005-02-14,62.2629,63.6877,62.0837,62.8102,13026537.0,0.0
2005-02-15,62.5083,63.2065,61.7676,62.395,11473811.0,0.0
2005-02-16,62.6073,63.9424,62.0082,62.612,19359476.0,0.0
2005-02-17,62.579,62.6403,61.4704,62.2252,21039355.0,0.0
2005-02-18,62.9328,63.1876,61.7582,62.1073,14035524.0,0.0
2005-02-21,62.2063,62.7677,61.4845,62.3431,23361815.0,0.0
2005-02-22,62.3667,64.7161,62.2724,64.2302,24143610.0,0.0
2005-02-23,64.2774,64.7255,63.6027,63.8858,18063543.0,0.0
2005-02-24,64.0745,65.4803,64.0745,65.1973,26134992.0,0.0
2005-02-25,65.2916,65.5747,64.2632,64.6548,16276460.0,0.0
2005-02-28,64.7491,67.8863,63.5933,67.4051,46954723.0,0.0
2005-03-01,67.5136,67.5985,65.3435,65.603,30671277.0,0.0
2005-03-02,65.7681,66.9428,65.5794,66.6267,16947829.0,0.0
2005-03-03,66.7069,67.9288,66.5701,67.6882,18067136.0,0.0
2005-03-04,67.8391,68.4053,67.1409,67.3013,16761760.0,0.0
2005-03-07,67.641,69.3441,67.4759,68.5468,19199713.0,0.0
2005-03-08,68.4053,68.8723,67.9335,68.3298,12056289.0,0.0
2005-03-09,68.7827,69.0563,67.273,68.0137,16413278.0,0.0
2005-03-10,68.1316,70.2782,67.4617,70.0564,25580844.0,0.0
2005-03-11,70.1036,70.8301,69.3488,69.5092,19091448.0,0.0
2005-03-14,69.7262,70.0942,68.877,69.2403,14199431.0,0.0
2005-03-15,68.9714,69.613,68.4053,68.9997,15215328.0,0.0
2005-03-16,69.1412,69.6224,68.3298,68.6978,12765028.0,0.0
